4485923368513585 122026 234, valid, visa
4916483935281165 92022 478, invalid, visa
4929020387186057 52022 178, invalid, visa
4532028701717944 72029 737, invalid, visa
4716466473853851 82023 206, invalid, visa
4916093953742145 82025 225, invalid, visa
4716956598614584 22023 132, invalid, visa
4539172819356048 102024 743, invalid, visa
4539296385295759 32026 339, invalid, visa
4532731771745675 22025 978, invalid, visa
4716032977211325 102027 204, invalid, visa
4929674736647480 62022 432, invalid, visa
4024007197249716 22026 991, valid, visa
4799183948935169 42028 610, invalid, visa
4929067535096548 102023 170, invalid, visa
4716767070103172 52028 136, invalid, visa
4532315217407270 112024 239, invalid, visa
4532990058110793 42024 512, invalid, visa
4707457883866071 122026 506, invalid, visa
4024007168263696 52024 869, invalid, visa
4094190637983865 82028 946, invalid, visa
4024007128306205 72028 668, invalid, visa
4539845493491161 32023 322, invalid, visa
4929904341546698 52027 627, invalid, visa
4485214521421332 52028 582, invalid, visa
4539458976013831 92024 631, invalid, visa
4730483743739168 42028 713, invalid, visa
4532805218517408 72029 316, invalid, visa
4916211374027397 92024 921, invalid, visa
4024007147410301 62023 663, invalid, visa
4556917422687702 102025 616, invalid, visa
4716311234956462 62029 557, invalid, visa
4024007170473861 62027 185, invalid, visa
4539798735849375 102023 517, invalid, visa
4716806008105220 42023 576, invalid, visa
4539870122385923 52023 778, invalid, visa
4556976725938832 42022 308, invalid, visa
4842854009891353 32024 672, invalid, visa
4485540989372447 52028 506, invalid, visa
4539744064450500 82024 638, invalid, visa
4916003421520486 122028 481, invalid, visa
4556522961834382 42026 772, invalid, visa
4539393288780555 112028 854, invalid, visa
4716544393597020 62023 931, invalid, visa
4716393782299941 122025 787, invalid, visa
4485876697137023 72024 116, invalid, visa
4929577081667963 102029 981, invalid, visa
4322663567665805 52025 587, invalid, visa
4916327361828892 122025 666, valid, visa
4929431181836625 72026 131, valid, visa
4024007122857286 42025 427, invalid, visa
4532952314512360 92026 271, invalid, visa
4485672844285439 112027 381, valid, visa
4024007138282693 62028 131, invalid, visa
4556450006976267 122025 295, invalid, visa
4916078520161432 92022 119, invalid, visa
4929002155976273 32026 542, invalid, visa
4929046512823199 32024 486, invalid, visa
4929109088639157 92027 353, invalid, visa
4024007156249772 112022 276, valid, visa
4556395687393219 42026 460, invalid, visa
4024007150986379 122024 776, invalid, visa
4539332254394603 122024 467, invalid, visa
4485305664160990 42027 296, invalid, visa
4556477982802019 32024 772, invalid, visa
4929548858776881 52025 708, invalid, visa
4485937934146225 32028 541, invalid, visa
4916055215724419 122029 755, invalid, visa
4007300469536980 72024 783, invalid, visa
4024007120325278 72026 793, invalid, visa
4532580863860268 122023 883, invalid, visa
4556620792384237 72026 688, invalid, visa
4556257944621404 102023 961, invalid, visa
4805113495062416 92022 349, invalid, visa
4024007164637729 122023 742, invalid, visa
4929818534518399 72027 138, invalid, visa
4929107463761083 22024 366, invalid, visa
4532720532513571 92024 469, invalid, visa
4024007120653588 112026 487, invalid, visa
